"value","mean","sd","lower","median","upper","mode","kld","group","effect","deltawaic","deltadic","deltaLS","clim","lag"
-0.293035943317197,0.00791349913924932,0.0140404952690005,-0.0196315796912992,0.00790613961235514,0.0354717773724604,0.00789234787225723,2.3890797300018e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-0.152476721929635,0.00699352798983455,0.014075169339776,-0.0206231440246472,0.00698719339600343,0.0346178361057321,0.0069754789583385,1.55892189356533e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
-0.0143503180143458,0.0304865557700396,0.0142195150256157,0.00259466560431638,0.0304782008582646,0.0583966560233767,0.0304625164717436,5.55895367283887e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
0.126430689464414,0.0538704693317413,0.0144361769780517,0.025544518081901,0.0538657925885955,0.0821942617039818,0.053857933729887,1.08007632353786e-05,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
0.268755991805162,0.0574061945080757,0.0144852446392179,0.0289873547681907,0.0574001488715761,0.0858301838458563,0.0573894158005714,9.12050404278941e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
0.409516970189718,0.0485257506370544,0.0145027730613947,0.0200777474112696,0.0485174485959946,0.0769911586011596,0.0485019199550152,5.71455730537484e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
0.5507765,0.0379135608673096,0.0145325046032667,0.00940697510576214,0.037905049494909,0.0664386332551331,0.0378890223801136,4.10530974782385e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
0.690609,0.0296350736171007,0.0146251227706671,0.000946276079604173,0.0296265541247192,0.0583422446171626,0.0296104867011309,3.40598655992434e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
0.833700526620032,0.0261693876236677,0.0147323841229081,-0.0027305913309643,0.0261610748770727,0.0550864244895498,0.0261454451829195,3.38415345770213e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
0.968919357010324,0.0289388466626406,0.0149127757176757,-0.000315828722615912,0.0289309080412823,0.0582081782833259,0.0289161056280136,4.35466869745722e-06,1,"spei6_2",-130.372232872993,-90.0081985640572,-0.000660980455390092,"spei6","2"
